county,precinct,office,district,candidate,party,votes
Miner,1,President,,Kamala D. Harris and Tim Walz,DEM,40
Miner,1,President,,Chase Oliver and Mike ter Maat,LIB,0
Miner,1,President,,Donald J. Trump and JD Vance,REP,108
Miner,1,President,,"Robert F. Kennedy, Jr. and Nicole Shanahan",IND,2
Miner,2,President,,Kamala D. Harris and Tim Walz,DEM,33
Miner,2,President,,Chase Oliver and Mike ter Maat,LIB,0
Miner,2,President,,Donald J. Trump and JD Vance,REP,93
Miner,2,President,,"Robert F. Kennedy, Jr. and Nicole Shanahan",IND,4
Miner,3,President,,Kamala D. Harris and Tim Walz,DEM,38
Miner,3,President,,Chase Oliver and Mike ter Maat,LIB,0
Miner,3,President,,Donald J. Trump and JD Vance,REP,80
Miner,3,President,,"Robert F. Kennedy, Jr. and Nicole Shanahan",IND,5
Miner,4,President,,Kamala D. Harris and Tim Walz,DEM,48
Miner,4,President,,Chase Oliver and Mike ter Maat,LIB,2
Miner,4,President,,Donald J. Trump and JD Vance,REP,104
Miner,4,President,,"Robert F. Kennedy, Jr. and Nicole Shanahan",IND,5
Miner,5,President,,Kamala D. Harris and Tim Walz,DEM,18
Miner,5,President,,Chase Oliver and Mike ter Maat,LIB,0
Miner,5,President,,Donald J. Trump and JD Vance,REP,54
Miner,5,President,,"Robert F. Kennedy, Jr. and Nicole Shanahan",IND,3
Miner,6,President,,Kamala D. Harris and Tim Walz,DEM,39
Miner,6,President,,Chase Oliver and Mike ter Maat,LIB,0
Miner,6,President,,Donald J. Trump and JD Vance,REP,178
Miner,6,President,,"Robert F. Kennedy, Jr. and Nicole Shanahan",IND,3
Miner,7,President,,Kamala D. Harris and Tim Walz,DEM,53
Miner,7,President,,Chase Oliver and Mike ter Maat,LIB,0
Miner,7,President,,Donald J. Trump and JD Vance,REP,132
Miner,7,President,,"Robert F. Kennedy, Jr. and Nicole Shanahan",IND,4
Miner,8,President,,Kamala D. Harris and Tim Walz,DEM,24
Miner,8,President,,Chase Oliver and Mike ter Maat,LIB,3
Miner,8,President,,Donald J. Trump and JD Vance,REP,92
Miner,8,President,,"Robert F. Kennedy, Jr. and Nicole Shanahan",IND,2
